Original,Obfuscated
UdpConnectionsCommand,O_1CF053D4
UdpConnectionsDTO,O_C1EB2ACA
UdpConnectionsTextFormatter,O_746FE716
User32,O_E24FBBBE
UserAccountControlCommand,O_36966E8B
UserAccountControlDTO,O_A8F30596
UserAccountControlFormatter,O_2FD4A4A7
UserRightAssignmentsCommand,O_B37466FB
UserRightAssignmentsDTO,O_B2DB8A27
UserRightAssignmentsTextFormatter,O_75AE188C
VaultCli,O_7A5E6AD0
VaultEntry,O_19270373
VaultItemValue,O_195F078A
VerboseDTO,O_77AFBCF7
VerboseTextFormatter,O_27435FC4
WarningDTO,O_56497D89
WarningTextFormatter,O_AE6533F0
WifiProfileCommand,O_820687B3
WifiProfileDTO,O_97D40AC0
WifiProfileEntry,O_CA3CF3AC
Win32Error,O_3BB7B919
WindowsAutoLogonCommand,O_E4AC9A55
WindowsAutoLogonDTO,O_A84D8E7E
WindowsCredentialFileCommand,O_99C48D6F
WindowsCredentialFileDTO,O_8CB6CE5F
WindowsCredentialFileFormatter,O_581F0E19
WindowsDefenderCommand,O_DFA2EACB
WindowsDefenderDTO,O_E409597E
WindowsDefenderFormatter,O_21A92342
WindowsEventForwardingCommand,O_37536031
WindowsEventForwardingDTO,O_245B3EFA
WindowsEventForwardingFormatter,O_523A65B4
WindowsFirewallCommand,O_588A6512
WindowsFirewallDTO,O_CA646800
WindowsFirewallRule,O_72452439
WindowsSearchIndexDTO,O_A25BC503
WindowsSearchIndexTextFormatter,O_F49A51EF
WindowsVaultCommand,O_E3B1AD34
WindowsVaultDTO,O_70BC9C8D
WindowsVaultFormatter,O_80287F36
Wlanapi,O_6D5A9C51
WMICommand,O_2EE28C2A
WMIDTO,O_CACA4DCD
WMIEventConsumeFormatter,O_FD4BFA91
WMIEventConsumerCommand,O_DF75625B
WMIEventConsumerDTO,O_0D1C2316
WmiEventFilterCommand,O_E64AECC6
WmiEventFilterDTO,O_205563B5
WMIFilterToConsumerBindingCommand,O_839DD5D8
WMIFilterToConsumerBindingDTO,O_E54BD80E
WMIFormatter,O_BC03815F
WMIUtil,O_88B64416
Workspace,O_87BB59BA
WsusClientCommand,O_28318AC3
WsusClientDTO,O_442EB30E
Wtsapi32,O_17620FAB
